aspect,negative,neutral,positive,total_mentions,positive_ratio,neutral_ratio,negative_ratio
front channels,0,0,1,1,1.0,0.0,0.0
front cover,1,0,0,1,0.0,0.0,1.0
fun,0,1,0,1,0.0,1.0,0.0
function,1,2,1,4,0.25,0.5,0.25
functionality,1,2,2,5,0.4,0.4,0.2
functioning,0,1,3,4,0.75,0.25,0.0
functions,1,0,0,1,0.0,0.0,1.0
g3,0,5,1,6,0.16666666666666666,0.8333333333333334,0.0
game,0,3,4,7,0.5714285714285714,0.42857142857142855,0.0
games,5,2,2,9,0.2222222222222222,0.2222222222222222,0.5555555555555556
garbage bags,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
gift,1,0,0,1,0.0,0.0,1.0
go online,0,1,0,1,0.0,1.0,0.0
gprs,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
gpu hardware acceleration,1,0,0,1,0.0,0.0,1.0
grain,0,0,1,1,1.0,0.0,0.0
grip,1,0,0,1,0.0,0.0,1.0
gsm,0,0,1,1,1.0,0.0,0.0
guest feature,0,1,0,1,0.0,1.0,0.0
guest network,1,0,0,1,0.0,0.0,1.0
gui,1,0,0,1,0.0,0.0,1.0
guide,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
hand set,1,0,0,1,0.0,0.0,1.0
handsfree,0,0,1,1,1.0,0.0,0.0
hang,0,0,1,1,1.0,0.0,0.0
hard drive,3,0,4,7,0.5714285714285714,0.0,0.42857142857142855
hardcase,0,0,1,1,1.0,0.0,0.0
hardware version,0,0,1,1,1.0,0.0,0.0
hdmi output,0,0,1,1,1.0,0.0,0.0
headphone,4,2,2,8,0.25,0.25,0.5
headphone jack,6,4,3,13,0.23076923076923078,0.3076923076923077,0.46153846153846156
headphones,2,6,5,13,0.38461538461538464,0.46153846153846156,0.15384615384615385
headset,0,1,0,1,0.0,1.0,0.0
headset jack,0,0,1,1,1.0,0.0,0.0
hear,0,1,0,1,0.0,1.0,0.0
heat,1,0,1,2,0.5,0.0,0.5
heat dissipation,0,0,1,1,1.0,0.0,0.0
heat up,0,0,1,1,1.0,0.0,0.0
heated,0,0,1,1,1.0,0.0,0.0
heavier,0,1,0,1,0.0,1.0,0.0
heavy,2,3,5,10,0.5,0.3,0.2
heft,0,0,1,1,1.0,0.0,0.0
height,0,0,1,1,1.0,0.0,0.0
height adjustability,0,0,1,1,1.0,0.0,0.0
help,2,0,0,2,0.0,0.0,1.0
helpline,1,0,0,1,0.0,0.0,1.0
high speed internet,0,1,0,1,0.0,1.0,0.0
highlight,1,0,0,1,0.0,0.0,1.0
highs,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
hitachi,1,1,0,2,0.0,0.5,0.5
hitachi m12v,1,0,0,1,0.0,0.0,1.0
hold,0,1,0,1,0.0,1.0,0.0
holds,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
hole,0,0,1,1,1.0,0.0,0.0
home network,1,0,0,1,0.0,0.0,1.0
home theater,1,0,0,1,0.0,0.0,1.0
home version,2,0,0,2,0.0,0.0,1.0
hook up,0,1,0,1,0.0,1.0,0.0
horn tweeters,1,0,0,1,0.0,0.0,1.0
horns,1,0,0,1,0.0,0.0,1.0
hot,0,2,0,2,0.0,1.0,0.0
hot shoe flash,0,0,1,1,1.0,0.0,0.0
housing,0,2,0,2,0.0,1.0,0.0
ht upgrade,0,0,1,1,1.0,0.0,0.0
id3,0,1,0,1,0.0,1.0,0.0
id3 tag,3,3,1,7,0.14285714285714285,0.42857142857142855,0.42857142857142855
image download,0,1,0,1,0.0,1.0,0.0
image quality,0,0,3,3,1.0,0.0,0.0
images,1,1,2,4,0.5,0.25,0.25
import,0,1,0,1,0.0,1.0,0.0
incompatibility,0,1,1,2,0.5,0.5,0.0
increased memory option,1,0,0,1,0.0,0.0,1.0
indoor image,1,0,0,1,0.0,0.0,1.0
indoor picture,0,0,1,1,1.0,0.0,0.0
indoor shot,0,0,3,3,1.0,0.0,0.0
inexpensive,1,0,1,2,0.5,0.0,0.5
infrared,0,0,2,2,1.0,0.0,0.0
input,0,0,1,1,1.0,0.0,0.0
install,6,6,8,20,0.4,0.3,0.3
installation,8,11,5,24,0.20833333333333334,0.4583333333333333,0.3333333333333333
installation software,0,1,0,1,0.0,1.0,0.0
installed,0,0,1,1,1.0,0.0,0.0
installing,0,2,0,2,0.0,1.0,0.0
installs,1,0,0,1,0.0,0.0,1.0
instant messaging,0,1,0,1,0.0,1.0,0.0
instant setup,0,1,0,1,0.0,1.0,0.0
instruction,4,1,2,7,0.2857142857142857,0.14285714285714285,0.5714285714285714
instruction booklet,1,0,0,1,0.0,0.0,1.0
instructions,3,7,3,13,0.23076923076923078,0.5384615384615384,0.23076923076923078
instructions manual,1,0,0,1,0.0,0.0,1.0
insurance,0,0,1,1,1.0,0.0,0.0
interface,13,14,10,37,0.2702702702702703,0.3783783783783784,0.35135135135135137
internet,2,1,1,4,0.25,0.25,0.5
internet connection,2,3,1,6,0.16666666666666666,0.5,0.3333333333333333
internet connectivity,0,0,1,1,1.0,0.0,0.0
internet security,1,1,2,4,0.5,0.25,0.25
internet signal,0,1,0,1,0.0,1.0,0.0
internet user manual,0,0,1,1,1.0,0.0,0.0
intrusion,2,0,0,2,0.0,0.0,1.0
investment,0,0,1,1,1.0,0.0,0.0
ipod,7,2,8,17,0.47058823529411764,0.11764705882352941,0.4117647058823529
isync,1,0,0,1,0.0,0.0,1.0
isync compaibility,0,0,2,2,1.0,0.0,0.0
item,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
items,0,1,0,1,0.0,1.0,0.0
itunes,5,7,4,16,0.25,0.4375,0.3125
jbl s310 ii,0,0,1,1,1.0,0.0,0.0
jbl sub,1,0,0,1,0.0,0.0,1.0
jewel,0,1,0,1,0.0,1.0,0.0
jog dial,1,0,0,1,0.0,0.0,1.0
joints,1,0,0,1,0.0,0.0,1.0
joy stick,2,0,0,2,0.0,0.0,1.0
joystick,0,0,3,3,1.0,0.0,0.0
jpeg,0,0,3,3,1.0,0.0,0.0
jpeg picture,1,0,0,1,0.0,0.0,1.0
jpeg slideshow,0,0,1,1,1.0,0.0,0.0
junk,1,0,0,1,0.0,0.0,1.0
kays,1,0,0,1,0.0,0.0,1.0
key,3,3,0,6,0.0,0.5,0.5
key lock,0,1,0,1,0.0,1.0,0.0
keyboard,0,2,3,5,0.6,0.4,0.0
keyboard connector,0,1,0,1,0.0,1.0,0.0
keypad,0,0,4,4,1.0,0.0,0.0
keys,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
klipsh subwoofer,0,1,0,1,0.0,1.0,0.0
knob,0,0,1,1,1.0,0.0,0.0
labeling of firmware,1,0,0,1,0.0,0.0,1.0
labling,0,0,1,1,1.0,0.0,0.0
lag,1,1,0,2,0.0,0.5,0.5
lag time,0,1,0,1,0.0,1.0,0.0
laid out,1,0,0,1,0.0,0.0,1.0
laptop,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
large,0,1,0,1,0.0,1.0,0.0
last,0,1,0,1,0.0,1.0,0.0
latch,1,0,0,1,0.0,0.0,1.0
layout,0,1,0,1,0.0,1.0,0.0
lcd monitor,1,1,0,2,0.0,0.5,0.5
learn,0,1,0,1,0.0,1.0,0.0
learning,0,0,1,1,1.0,0.0,0.0
learning curve,1,0,0,1,0.0,0.0,1.0
leather case,1,0,1,2,0.5,0.0,0.5
leather pouch,0,1,0,1,0.0,1.0,0.0
led monitor,0,0,1,1,1.0,0.0,0.0
lens,0,0,4,4,1.0,0.0,0.0
lens cap,4,0,0,4,0.0,0.0,1.0
lens cover,0,0,1,1,1.0,0.0,0.0
lense,0,0,1,1,1.0,0.0,0.0
lense cap,0,0,1,1,1.0,0.0,0.0
lever,0,1,0,1,0.0,1.0,0.0
life,0,0,1,1,1.0,0.0,0.0
light,1,0,3,4,0.75,0.0,0.25
light auto correction,0,1,0,1,0.0,1.0,0.0
lighter,1,0,1,2,0.5,0.0,0.5
lightweight,1,0,1,2,0.5,0.0,0.5
line out jack,1,0,1,2,0.5,0.0,0.5
lines,0,1,0,1,0.0,1.0,0.0
linksys,0,4,2,6,0.3333333333333333,0.6666666666666666,0.0
lipsync,0,0,1,1,1.0,0.0,0.0
liveupdate,3,0,0,3,0.0,0.0,1.0
load,0,1,0,1,0.0,1.0,0.0
load time,1,0,0,1,0.0,0.0,1.0
loading,0,1,0,1,0.0,1.0,0.0
loading speed,1,0,0,1,0.0,0.0,1.0
local hd decoding,0,0,1,1,1.0,0.0,0.0
lock,0,0,1,1,1.0,0.0,0.0
lock feature,0,0,1,1,1.0,0.0,0.0
lock up,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
logging,0,1,0,1,0.0,1.0,0.0
logitech production values,0,0,1,1,1.0,0.0,0.0
looked,0,1,0,1,0.0,1.0,0.0
looking,1,3,3,7,0.42857142857142855,0.42857142857142855,0.14285714285714285
looks,2,4,4,10,0.4,0.4,0.2
loud,1,0,1,2,0.5,0.0,0.5
loud phone,0,0,1,1,1.0,0.0,0.0
low light focus,1,0,0,1,0.0,0.0,1.0
lowlight conditions,0,1,0,1,0.0,1.0,0.0
lows,0,1,0,1,0.0,1.0,0.0
m12,0,1,0,1,0.0,1.0,0.0
m12v,1,0,1,2,0.5,0.0,0.5
mac support,0,0,1,1,1.0,0.0,0.0
machine,4,3,3,10,0.3,0.3,0.4
macro,1,0,3,4,0.75,0.0,0.25
macro mode,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
macrosresults,0,0,1,1,1.0,0.0,0.0
made,0,2,0,2,0.0,1.0,0.0
make,0,0,1,1,1.0,0.0,0.0
manual,3,4,4,11,0.36363636363636365,0.36363636363636365,0.2727272727272727
manual control,1,0,0,1,0.0,0.0,1.0
manual controls,0,1,0,1,0.0,1.0,0.0
manual mode,0,5,2,7,0.2857142857142857,0.7142857142857143,0.0
manual modes,1,0,0,1,0.0,0.0,1.0
manual shutdown,0,0,1,1,1.0,0.0,0.0
material,1,1,0,2,0.0,0.5,0.5
mcafee antivirus 8,0,0,1,1,1.0,0.0,0.0
media,1,0,0,1,0.0,0.0,1.0
media player compatibility,0,1,0,1,0.0,1.0,0.0
mediasource,0,3,2,5,0.4,0.6,0.0
memory,12,13,20,45,0.4444444444444444,0.28888888888888886,0.26666666666666666
memory card,3,1,0,4,0.0,0.25,0.75
memory expansion,0,1,0,1,0.0,1.0,0.0
memory stick slots,0,0,1,1,1.0,0.0,0.0
memory usage,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
menu,9,4,8,21,0.38095238095238093,0.19047619047619047,0.42857142857142855
menu dial knob,0,0,1,1,1.0,0.0,0.0
menu option,1,0,0,1,0.0,0.0,1.0
menu options,0,1,0,1,0.0,1.0,0.0
menue,1,0,0,1,0.0,0.0,1.0
menus,2,0,0,2,0.0,0.0,1.0
merge pictures,0,0,1,1,1.0,0.0,0.0
message,0,2,0,2,0.0,1.0,0.0
metal case,0,1,0,1,0.0,1.0,0.0
metering option,0,0,1,1,1.0,0.0,0.0
mhz,0,1,0,1,0.0,1.0,0.0
micro,0,1,0,1,0.0,1.0,0.0
microphone,1,1,0,2,0.0,0.5,0.5
midrange,0,1,1,2,0.5,0.5,0.0
mids,1,1,0,2,0.0,0.5,0.5
mmc,1,0,0,1,0.0,0.0,1.0
mmc card,0,2,0,2,0.0,1.0,0.0
mmc memory,0,0,1,1,1.0,0.0,0.0
mmc slot,0,0,1,1,1.0,0.0,0.0
mms,0,0,1,1,1.0,0.0,0.0
mode,0,2,0,2,0.0,1.0,0.0
model,2,0,1,3,0.3333333333333333,0.0,0.6666666666666666
model router,0,0,1,1,1.0,0.0,0.0
modem,0,0,1,1,1.0,0.0,0.0
money,2,3,1,6,0.16666666666666666,0.5,0.3333333333333333
monitors,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
motor,0,1,1,2,0.5,0.5,0.0
motorola t720i,1,0,0,1,0.0,0.0,1.0
mount,0,0,1,1,1.0,0.0,0.0
mounting abilities,0,0,1,1,1.0,0.0,0.0
mouse,0,0,1,1,1.0,0.0,0.0
mouse pad,0,0,1,1,1.0,0.0,0.0
movie,0,1,1,2,0.5,0.5,0.0
movie mode,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
movies,0,2,0,2,0.0,1.0,0.0
mp3,0,1,0,1,0.0,1.0,0.0
mp3 filename,1,0,0,1,0.0,0.0,1.0
mp3 player,0,2,2,4,0.5,0.5,0.0
mpeg,0,2,0,2,0.0,1.0,0.0
mpeg1,0,0,1,1,1.0,0.0,0.0
multimedia,0,1,0,1,0.0,1.0,0.0
multimedia functions,0,1,0,1,0.0,1.0,0.0
multiple picture,0,1,0,1,0.0,1.0,0.0
multiple pictures,0,1,0,1,0.0,1.0,0.0
multipurpose,0,0,1,1,1.0,0.0,0.0
music,0,1,0,1,0.0,1.0,0.0
music quality,0,0,1,1,1.0,0.0,0.0
music source support,0,0,1,1,1.0,0.0,0.0
music speaker,1,0,0,1,0.0,0.0,1.0
music subscription service,0,0,1,1,1.0,0.0,0.0
music transfer,0,0,1,1,1.0,0.0,0.0
musicmatch software,0,1,0,1,0.0,1.0,0.0
n550 speaker lapdesk,0,0,1,1,1.0,0.0,0.0
name,0,0,1,1,1.0,0.0,0.0
napster,0,1,0,1,0.0,1.0,0.0
napster 2 go compatibility,0,0,1,1,1.0,0.0,0.0
napster to go compatibility,0,0,1,1,1.0,0.0,0.0
navigate,1,0,0,1,0.0,0.0,1.0
navigatee,1,0,0,1,0.0,0.0,1.0
navigating,0,0,1,1,1.0,0.0,0.0
navigation,8,6,5,19,0.2631578947368421,0.3157894736842105,0.42105263157894735
navigational system,0,1,0,1,0.0,1.0,0.0
netbook,0,3,3,6,0.5,0.5,0.0
netgear genie tool,0,0,1,1,1.0,0.0,0.0
network,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
network speeds,0,0,1,1,1.0,0.0,0.0
night mode,0,0,1,1,1.0,0.0,0.0
nikon,1,0,1,2,0.5,0.0,0.5
nikon 4300,0,0,1,1,1.0,0.0,0.0
nikon support,0,0,1,1,1.0,0.0,0.0
nimble,0,0,1,1,1.0,0.0,0.0
nis,0,1,1,2,0.5,0.5,0.0
nis 04,0,0,1,1,1.0,0.0,0.0
nis 2003,0,0,1,1,1.0,0.0,0.0
nis 2004,1,1,0,2,0.0,0.5,0.5
nis2004,0,1,0,1,0.0,1.0,0.0
no disc,1,3,3,7,0.42857142857142855,0.42857142857142855,0.14285714285714285
noise,5,1,0,6,0.0,0.16666666666666666,0.8333333333333334
nokia,6,1,3,10,0.3,0.1,0.6
nomad,1,3,1,5,0.2,0.6,0.2
nomad explorer,0,2,2,4,0.5,0.5,0.0
nooff button,1,0,0,1,0.0,0.0,1.0
norton,3,5,4,12,0.3333333333333333,0.4166666666666667,0.25
norton antispam,1,0,0,1,0.0,0.0,1.0
norton internet security,1,0,0,1,0.0,0.0,1.0
norton products,0,0,1,1,1.0,0.0,0.0
norton program,0,1,0,1,0.0,1.0,0.0
norton site,0,0,1,1,1.0,0.0,0.0
notmad,0,1,0,1,0.0,1.0,0.0
notmad software,1,0,0,1,0.0,0.0,1.0
nrouter,0,0,1,1,1.0,0.0,0.0
nstalling,0,1,0,1,0.0,1.0,0.0
number buttons,0,1,0,1,0.0,1.0,0.0
oderous,1,0,0,1,0.0,0.0,1.0
odor,4,5,5,14,0.35714285714285715,0.35714285714285715,0.2857142857142857
odors,2,1,1,4,0.25,0.25,0.5
off,0,1,0,1,0.0,1.0,0.0
off button,1,0,0,1,0.0,0.0,1.0
office starter web cam,1,0,0,1,0.0,0.0,1.0
on,0,1,0,1,0.0,1.0,0.0
oncamera controls,0,0,1,1,1.0,0.0,0.0
onkyo sound,0,0,1,1,1.0,0.0,0.0
online help,1,0,0,1,0.0,0.0,1.0
online service,0,0,1,1,1.0,0.0,0.0
online support,0,1,0,1,0.0,1.0,0.0
onscreen display,1,0,0,1,0.0,0.0,1.0
open,2,1,1,4,0.25,0.25,0.5
opening,0,0,2,2,1.0,0.0,0.0
operate,0,2,2,4,0.5,0.5,0.0
operated,0,1,0,1,0.0,1.0,0.0
operating system,0,1,0,1,0.0,1.0,0.0
operation,0,3,0,3,0.0,1.0,0.0
operation interfaces,0,0,1,1,1.0,0.0,0.0
optic,0,0,2,2,1.0,0.0,0.0
optical setting,1,0,0,1,0.0,0.0,1.0
optical zoom,2,1,6,9,0.6666666666666666,0.1111111111111111,0.2222222222222222
option,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
options,1,0,0,1,0.0,0.0,1.0
organization,1,1,0,2,0.0,0.5,0.5
organizer,1,0,0,1,0.0,0.0,1.0
os,3,1,1,5,0.2,0.2,0.6
other pail,0,0,1,1,1.0,0.0,0.0
outlook compatibility,0,0,1,1,1.0,0.0,0.0
outlook sync,1,0,0,1,0.0,0.0,1.0
output,0,1,0,1,0.0,1.0,0.0
outside finish,0,1,0,1,0.0,1.0,0.0
overall,0,1,0,1,0.0,1.0,0.0
p button,1,0,0,1,0.0,0.0,1.0
package,0,0,1,1,1.0,0.0,0.0
packaged,0,1,0,1,0.0,1.0,0.0
packing,0,0,1,1,1.0,0.0,0.0
pail,2,0,3,5,0.6,0.0,0.4
pair,0,0,1,1,1.0,0.0,0.0
paired,0,0,1,1,1.0,0.0,0.0
panel,0,0,2,2,1.0,0.0,0.0
panel button layout,0,0,1,1,1.0,0.0,0.0
panorama mode,1,0,0,1,0.0,0.0,1.0
panorama modes,1,0,0,1,0.0,0.0,1.0
panorama setting,0,0,1,1,1.0,0.0,0.0
parental control,0,1,0,1,0.0,1.0,0.0
parental controls,1,0,0,1,0.0,0.0,1.0
pause,0,0,1,1,1.0,0.0,0.0
pay,0,0,1,1,1.0,0.0,0.0
pc software,0,0,1,1,1.0,0.0,0.0
pc suite,0,1,0,1,0.0,1.0,0.0
pc sync,0,0,1,1,1.0,0.0,0.0
pda,0,2,0,2,0.0,1.0,0.0
perform,0,0,2,2,1.0,0.0,0.0
performance,13,26,21,60,0.35,0.43333333333333335,0.21666666666666667
performer,1,0,0,1,0.0,0.0,1.0
performs,0,1,0,1,0.0,1.0,0.0
phillip speaker sound,1,0,0,1,0.0,0.0,1.0
phone,33,32,50,115,0.43478260869565216,0.2782608695652174,0.28695652173913044
phone book,0,1,0,1,0.0,1.0,0.0
phone card calling,0,1,1,2,0.5,0.5,0.0
phone performance,0,1,0,1,0.0,1.0,0.0
phones,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
photo quality,2,2,2,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
photo viewing,0,0,1,1,1.0,0.0,0.0
photos,0,2,2,4,0.5,0.5,0.0
pics,3,1,1,5,0.2,0.2,0.6
picture,18,12,29,59,0.4915254237288136,0.2033898305084746,0.3050847457627119
picture clarity,0,0,1,1,1.0,0.0,0.0
picture detail,0,0,1,1,1.0,0.0,0.0
picture quality,6,7,10,23,0.43478260869565216,0.30434782608695654,0.2608695652173913
picture sharing,0,1,0,1,0.0,1.0,0.0
pictures of people,0,0,1,1,1.0,0.0,0.0
pim,0,0,1,1,1.0,0.0,0.0
pinnacle speaker bar,0,0,1,1,1.0,0.0,0.0
pipeline,1,0,0,1,0.0,0.0,1.0
pixel quality,0,0,1,1,1.0,0.0,0.0
pixels,0,1,0,1,0.0,1.0,0.0
plan,0,1,0,1,0.0,1.0,0.0
play,10,10,6,26,0.23076923076923078,0.38461538461538464,0.38461538461538464
play mode,0,0,2,2,1.0,0.0,0.0
play option,0,1,0,1,0.0,1.0,0.0
play wma,1,1,0,2,0.0,0.5,0.5
playback quality,0,0,2,2,1.0,0.0,0.0
player,88,51,88,227,0.3876651982378855,0.22466960352422907,0.3876651982378855
player hardware,0,0,1,1,1.0,0.0,0.0
playlist,3,4,5,12,0.4166666666666667,0.3333333333333333,0.25
playlists,0,1,0,1,0.0,1.0,0.0
plug,1,0,0,1,0.0,0.0,1.0
plug and play,1,0,0,1,0.0,0.0,1.0
plug in,0,1,0,1,0.0,1.0,0.0
pluger,1,0,0,1,0.0,0.0,1.0
plunge,1,5,0,6,0.0,0.8333333333333334,0.16666666666666666
plunger,1,0,0,1,0.0,0.0,1.0
plunging,4,0,1,5,0.2,0.0,0.8
popup blocker,1,0,0,1,0.0,0.0,1.0
popup face,1,0,0,1,0.0,0.0,1.0
popups,0,1,0,1,0.0,1.0,0.0
port translation,0,0,1,1,1.0,0.0,0.0
portability,1,1,2,4,0.5,0.25,0.25
portable,2,1,1,4,0.25,0.25,0.5
pouch,0,1,0,1,0.0,1.0,0.0
power,8,4,5,17,0.29411764705882354,0.23529411764705882,0.47058823529411764
power button,0,0,1,1,1.0,0.0,0.0
power supply,2,0,0,2,0.0,0.0,1.0
powerful,1,0,1,2,0.5,0.0,0.5
powers up,0,1,0,1,0.0,1.0,0.0
powerup,0,1,1,2,0.5,0.5,0.0
precise,0,0,1,1,1.0,0.0,0.0
preform,0,1,0,1,0.0,1.0,0.0
preset,0,0,1,1,1.0,0.0,0.0
pretty,1,0,1,2,0.5,0.0,0.5
price,44,34,42,120,0.35,0.2833333333333333,0.36666666666666664
price point,1,0,0,1,0.0,0.0,1.0
priced,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
pricess,0,0,1,1,1.0,0.0,0.0
pricey,0,1,0,1,0.0,1.0,0.0
print,0,3,2,5,0.4,0.6,0.0
print quality,0,1,0,1,0.0,1.0,0.0
printer sharing,0,1,0,1,0.0,1.0,0.0
prints,1,0,1,2,0.5,0.0,0.5
priority id,1,0,0,1,0.0,0.0,1.0
processing,1,0,0,1,0.0,0.0,1.0
processor,2,0,0,2,0.0,0.0,1.0
product,28,32,30,90,0.3333333333333333,0.35555555555555557,0.3111111111111111
products,1,3,2,6,0.3333333333333333,0.5,0.16666666666666666
professional version,1,0,0,1,0.0,0.0,1.0
program,1,2,2,5,0.4,0.4,0.2
program scan,1,0,0,1,0.0,0.0,1.0
programs,0,1,0,1,0.0,1.0,0.0
progressive scan,1,0,1,2,0.5,0.0,0.5
properties,0,1,0,1,0.0,1.0,0.0
proprietary,0,1,0,1,0.0,1.0,0.0
pull,1,0,0,1,0.0,0.0,1.0
purchase,0,1,1,2,0.5,0.5,0.0
purchases,0,1,0,1,0.0,1.0,0.0
quality,9,11,15,35,0.42857142857142855,0.3142857142857143,0.2571428571428571
quality issue,0,0,1,1,1.0,0.0,0.0
quality item,1,0,0,1,0.0,0.0,1.0
quality of audio,0,1,0,1,0.0,1.0,0.0
quality of picture,1,0,0,1,0.0,0.0,1.0
quality product,0,0,1,1,1.0,0.0,0.0
